day,licor,id,Photo,Ci,Tleaf,PARi
1,anderegg,H1-1,35.47880996,252.3856907,25.91410333,2000.026
1,anderegg,H1-1,35.54774374,252.3925954,25.91727586,1999.993448
1,anderegg,H1-1,35.52997299,251.7776587,25.92920714,1999.980357
1,anderegg,H1-1,35.32083149,249.2785095,25.95044815,1999.993704
1,anderegg,H1-1,34.32771368,245.6106109,25.97573929,2000.022143
1,anderegg,H1-1,33.21466413,238.5326856,26.0056,2000.014444
1,anderegg,H1-1,31.74428382,231.2696437,26.03098214,2000.011429
1,anderegg,H1-1,30.36281968,221.1290956,26.0471,1999.985926
1,anderegg,H1-1,29.0902932,211.9703227,26.05250357,1999.984643
1,anderegg,H1-1,27.49575269,201.967872,26.04415556,1999.991481
1,anderegg,H1-1,25.93950876,193.5231519,26.02258214,2000.023929
1,anderegg,H1-1,24.35634998,183.7456108,25.99357407,2000.025926
1,anderegg,H1-1,22.84960896,175.4452659,25.97118571,2000.004643
1,anderegg,H1-1,21.08272749,166.2587334,25.9603963,1999.986296
1,anderegg,H1-1,19.61670067,157.5247355,25.96165714,1999.986429
1,anderegg,H1-1,17.96521285,148.0710022,25.97343333,1999.981852
1,anderegg,H1-1,16.50150957,139.6095371,25.99232857,1999.988571
1,anderegg,H1-1,14.94854174,129.8339387,26.01446296,2000.004444
1,anderegg,H1-1,13.17216574,122.2215382,26.03611071,1999.994286
1,anderegg,H1-1,11.71316969,114.3798082,26.05235357,1999.992143
1,anderegg,H1-1,9.902227759,104.3933241,26.07199643,2000.005357
1,anderegg,H1-1,8.347116598,96.9320878,26.07873929,2000.016071
1,anderegg,H1-1,6.464626924,87.28028294,26.075375,2000.014286
1,anderegg,H1-1,4.922131286,79.62109629,26.06521071,1999.985714
1,anderegg,H1-1,35.35616281,251.4131754,25.88282333,1999.984333
1,anderegg,H1-1,35.34982862,251.2958342,25.91430345,1999.986207
1,anderegg,H1-1,35.1877421,252.2387496,25.949575,2000.003214
1,anderegg,H1-1,35.65415362,253.721144,25.98283333,1999.99963
